matrix_id,group,name,exp_idx,n,method,t_embed,r0_fit,r1_fit,n_iter,termination_reason,t_spd,stress,pointwise_stress,distortion,sgs,np_score,alpha,source_shard,theta_fit
114,HB,dwt_193,18,193,TorusMDS,0.9972,,,2304.0,tolerance,0.004,0.185633147171565,0.2568617289850924,0.1430781525444769,0.9002748168351765,0.6725684369329678,13.002413,results/suitesparse_normalized_TorusMDS_comparison.csv,
116,HB,dwt_209,19,209,TorusMDS,1.0178,,,2304.0,tolerance,0.0036,0.2324930162883076,0.2937901995181483,0.1866019335324905,0.8645924835602681,0.5830236032681002,13.78021,results/suitesparse_normalized_TorusMDS_comparison.csv,
117,HB,dwt_221,20,221,TorusMDS,1.4956,,,3328.0,tolerance,0.0032,0.2758143218103852,0.2696546199450094,0.1853638536729704,0.9252814998148948,0.7734297646797649,23.986213,results/suitesparse_normalized_TorusMDS_comparison.csv,
118,HB,dwt_234,21,117,TorusMDS,1.0233,,,2304.0,tolerance,0.001,0.1676604816586747,0.2405178304110284,0.1338930430746476,0.924316647895937,0.410432414506718,19.595622,results/suitesparse_normalized_TorusMDS_comparison.csv,
119,HB,dwt_245,22,245,TorusMDS,1.0837,,,2432.0,tolerance,0.0041,0.1951744814925574,0.239020695668225,0.1595176063014059,0.9050304788213954,0.5332190245151124,22.615987,results/suitesparse_normalized_TorusMDS_comparison.csv,
121,HB,dwt_307,23,307,TorusMDS,1.0913,,,2304.0,tolerance,0.0065,0.1715167720354801,0.3203400849216729,0.1384360295667347,0.8968526248798416,0.6157607543971183,18.12357,results/suitesparse_normalized_TorusMDS_comparison.csv,
122,HB,dwt_310,24,310,TorusMDS,2.6208,,,4608.0,tolerance,0.0041,0.0346500482256147,0.084934566084759,0.0322184883261399,0.9971494978614368,0.9161188256188252,53.821232,results/suitesparse_normalized_TorusMDS_comparison.csv,
123,HB,dwt_346,25,340,TorusMDS,1.2252,,,2688.0,tolerance,0.0089,0.1306746460021585,0.2148097824530303,0.1126606224112307,0.955947635834538,0.5418253350393955,25.880486,results/suitesparse_normalized_TorusMDS_comparison.csv,
124,HB,dwt_361,26,361,TorusMDS,1.659,,,3584.0,tolerance,0.0064,0.0764675916340862,0.1276808279597488,0.0678039730386277,0.9850919894864456,0.8832222222222221,42.612063,results/suitesparse_normalized_TorusMDS_comparison.csv,
125,HB,dwt_419,27,419,TorusMDS,1.6613,,,3584.0,tolerance,0.013,0.1596860643656429,0.2069763663450876,0.1225126311011303,0.9444480913208052,0.7576787101787104,25.777,results/suitesparse_normalized_TorusMDS_comparison.csv,
141,HB,fs_183_1,28,183,TorusMDS,0.9998,,,2304.0,tolerance,0.0026,0.3070826990101525,0.3446852427537991,0.2500285172684453,0.7038892328079724,0.7869358367351117,6.986445,results/suitesparse_normalized_TorusMDS_comparison.csv,
142,HB,fs_183_3,29,183,TorusMDS,1.0074,,,2304.0,tolerance,0.0029,0.3113590237962688,0.3542140595869739,0.2528356773228105,0.6968058772527689,0.7945061158082285,6.856084,results/suitesparse_normalized_TorusMDS_comparison.csv,
143,HB,fs_183_4,30,183,TorusMDS,1.0063,,,2304.0,tolerance,0.0027,0.3113590237962688,0.3542140595869739,0.2528356773228105,0.6968058772527689,0.7945061158082285,6.856084,results/suitesparse_normalized_TorusMDS_comparison.csv,
144,HB,fs_183_6,31,183,TorusMDS,1.0088,,,2304.0,tolerance,0.0026,0.3067304849947456,0.3449340848940783,0.2473978245280062,0.7113931257276596,0.7940635413301228,6.897511,results/suitesparse_normalized_TorusMDS_comparison.csv,
158,HB,gent113,32,104,TorusMDS,1.0126,,,2304.0,tolerance,0.0011,0.2814895667062263,0.3193286344884026,0.2189581717082884,0.7394113298758433,0.6242025335349879,8.062543,results/suitesparse_normalized_TorusMDS_comparison.csv,
161,HB,gre_115,33,115,TorusMDS,1.0212,,,2304.0,tolerance,0.0012,0.2742458078370187,0.3388277450068476,0.2239467881726641,0.7039534916235495,0.3820137806906987,11.269093,results/suitesparse_normalized_TorusMDS_comparison.csv,
162,HB,gre_185,34,185,TorusMDS,1.0056,,,2304.0,tolerance,0.0026,0.1233969991556021,0.2025108677498065,0.1088880850481397,0.9598945894117408,0.7172681765640172,17.954756,results/suitesparse_normalized_TorusMDS_comparison.csv,
163,HB,gre_216a,35,216,TorusMDS,1.0341,,,2304.0,tolerance,0.0032,0.17425983918514,0.2627063147768273,0.136801248397304,0.901864755670122,0.4781561488592147,23.97967,results/suitesparse_normalized_TorusMDS_comparison.csv,
164,HB,gre_216b,36,216,TorusMDS,1.0373,,,2304.0,tolerance,0.0032,0.17425983918514,0.2627063147768273,0.136801248397304,0.901864755670122,0.4781561488592147,23.97967,results/suitesparse_normalized_TorusMDS_comparison.csv,
165,HB,gre_343,37,343,TorusMDS,1.6276,,,3712.0,tolerance,0.0077,0.1916377765009451,0.2573045019241864,0.1429120520683897,0.8791366437678192,0.3830661874357527,43.883244,results/suitesparse_normalized_TorusMDS_comparison.csv,
167,HB,hor_131,38,434,TorusMDS,1.367,,,2944.0,tolerance,0.0161,0.1933343544384619,0.2661766378951797,0.1566427445488795,0.8650393173560317,0.5595499167192868,14.25053,results/suitesparse_normalized_TorusMDS_comparison.csv,
171,HB,impcol_a,39,206,TorusMDS,0.9971,,,2304.0,tolerance,0.0034,0.2422383750677603,0.3281025550371313,0.2060018206667004,0.8481108895340765,0.400134497093391,13.905015,results/suitesparse_normalized_TorusMDS_comparison.csv,
173,HB,impcol_c,40,137,TorusMDS,1.4954,,,3328.0,tolerance,0.0016,0.2615630487266346,0.3117548135633934,0.214160915550297,0.7452381619409574,0.4431179286554393,9.498363,results/suitesparse_normalized_TorusMDS_comparison.csv,
174,HB,impcol_d,41,425,TorusMDS,1.087,,,2304.0,tolerance,0.0129,0.1286369643116285,0.2111130973799811,0.1082749104248193,0.9593107346099558,0.4216156345765128,18.330217,results/suitesparse_normalized_TorusMDS_comparison.csv,
175,HB,impcol_e,42,225,TorusMDS,1.0101,,,2304.0,tolerance,0.0043,0.2218960834122351,0.302901644648353,0.1878634891366515,0.8766186629800011,0.5470450532097838,13.920645,results/suitesparse_normalized_TorusMDS_comparison.csv,
188,HB,lns_131,43,102,TorusMDS,1.3369,,,3072.0,tolerance,0.0011,0.1709103538605662,0.2211040063835818,0.1323152160262476,0.9078054071680146,0.5886684641905265,12.839129,results/suitesparse_normalized_TorusMDS_comparison.csv,
192,HB,lnsp_131,44,102,TorusMDS,1.3288,,,3072.0,tolerance,0.0009,0.1717832718239238,0.2248028558825054,0.1331953416809651,0.9071013855005567,0.574890260129047,12.854537,results/suitesparse_normalized_TorusMDS_comparison.csv,
202,HB,lshp_265,45,265,TorusMDS,1.1356,,,2432.0,tolerance,0.0045,0.0737818230363059,0.1124138446489672,0.0614462024347278,0.987654117721781,0.8922795537795537,34.369553,results/suitesparse_normalized_TorusMDS_comparison.csv,
203,HB,lshp_406,46,406,TorusMDS,1.3009,,,2304.0,tolerance,0.0102,0.0655352884706632,0.0827004483337077,0.0548259980429363,0.990012178307419,0.96765873015873,46.305008,results/suitesparse_normalized_TorusMDS_comparison.csv,
206,HB,lund_a,47,147,TorusMDS,0.9743,,,2304.0,tolerance,0.0019,0.0873399387501421,0.1483263380908053,0.0665806458093451,0.9860940255964884,0.9712968004102762,13.966321,results/suitesparse_normalized_TorusMDS_comparison.csv,
207,HB,lund_b,48,147,TorusMDS,1.0214,,,2304.0,tolerance,0.0019,0.0706629701950296,0.1414279704013938,0.0604303098611046,0.98596051681912,0.9738896418033244,15.798895,results/suitesparse_normalized_TorusMDS_comparison.csv,
212,HB,mcca,49,168,TorusMDS,1.0425,,,2304.0,tolerance,0.0032,0.1837970175981344,0.2552713673145542,0.1543258290427092,0.9104268809455034,0.7212707423579521,12.619529,results/suitesparse_normalized_TorusMDS_comparison.csv,
215,HB,nnc261,50,261,TorusMDS,1.0746,,,2304.0,tolerance,0.0037,0.2499132585261324,0.3996856845353841,0.2019997142431438,0.826631898831021,0.5237896646883724,16.063116,results/suitesparse_normalized_TorusMDS_comparison.csv,
217,HB,nos1,51,158,TorusMDS,1.7699,,,3456.0,tolerance,0.0008,0.014220854257381,0.0720779449823585,0.0082068526930305,0.9997554308802064,0.9876666666666668,101.42287,results/suitesparse_normalized_TorusMDS_comparison.csv,
220,HB,nos4,52,100,TorusMDS,1.3798,,,3072.0,tolerance,0.001,0.1097133233622839,0.1674778245892928,0.0967977627652243,0.9770492764452549,0.7747913284859621,21.846242,results/suitesparse_normalized_TorusMDS_comparison.csv,
229,HB,plat362,53,362,TorusMDS,1.9035,,,4096.0,tolerance,0.0117,0.0969266669927358,0.1360101015344863,0.0847297867874405,0.9776349753642104,0.9006952431813104,22.717732,results/suitesparse_normalized_TorusMDS_comparison.csv,
239,HB,saylr1,54,238,TorusMDS,1.8986,,,3456.0,tolerance,0.0027,0.0989308677451602,0.1300247829605023,0.0858538208000884,0.9775072362904068,0.9477142857142856,40.10428,results/suitesparse_normalized_TorusMDS_comparison.csv,
251,HB,steam1,55,240,TorusMDS,1.0594,,,2304.0,tolerance,0.0048,0.2581664301201956,0.3886528729027869,0.216087815137342,0.7844886140273826,0.5357579830448311,11.713928,results/suitesparse_normalized_TorusMDS_comparison.csv,
254,HB,str_0,56,363,TorusMDS,1.3925,,,3072.0,tolerance,0.0128,0.3282268638184122,0.3537471799447212,0.2602884741268422,0.4371367628676087,0.3031637370474876,7.549008,results/suitesparse_normalized_TorusMDS_comparison.csv,
255,HB,str_200,57,363,TorusMDS,1.1093,,,2432.0,tolerance,0.0143,0.3216543370991949,0.3493144640149162,0.2572814350332896,0.5093219250046219,0.3868563280894836,7.187466,results/suitesparse_normalized_TorusMDS_comparison.csv,
256,HB,str_400,58,363,TorusMDS,1.1137,,,2432.0,tolerance,0.0142,0.3274267423880713,0.3522732462729928,0.2612675699805395,0.5037382519390687,0.3865191204986241,7.145799,results/suitesparse_normalized_TorusMDS_comparison.csv,
257,HB,str_600,59,363,TorusMDS,1.2781,,,2816.0,tolerance,0.0145,0.3303528725752871,0.3593476694211037,0.2643934363724486,0.4552265066932074,0.3935677709674003,6.82352,results/suitesparse_normalized_TorusMDS_comparison.csv,
263,HB,west0132,60,132,TorusMDS,1.1195,,,2560.0,tolerance,0.0015,0.2454110304258929,0.3396789663414326,0.2101826548531481,0.8486570032642977,0.4620680468893415,21.575561,results/suitesparse_normalized_TorusMDS_comparison.csv,
264,HB,west0156,61,156,TorusMDS,0.9944,,,2304.0,tolerance,0.0021,0.3063839608156922,0.348852518978456,0.2481804256281623,0.5184513573041825,0.2857960186177734,8.806523,results/suitesparse_normalized_TorusMDS_comparison.csv,
265,HB,west0167,62,167,TorusMDS,1.1688,,,2688.0,tolerance,0.0024,0.2635266682036206,0.315648101378737,0.2146232184696083,0.7458926296483824,0.4056714322410439,9.000044,results/suitesparse_normalized_TorusMDS_comparison.csv,
266,HB,west0381,63,381,TorusMDS,1.0495,,,2304.0,tolerance,0.0123,0.3268172062537351,0.3704039581053175,0.2604196854508672,0.4113321171174555,0.3872837804745351,6.520153,results/suitesparse_normalized_TorusMDS_comparison.csv,
273,HB,will199,64,199,TorusMDS,1.3138,,,2944.0,tolerance,0.0034,0.3069854123739776,0.3516110956061914,0.251034737458137,0.4984795163526351,0.338958470185725,7.370058,results/suitesparse_normalized_TorusMDS_comparison.csv,
292,Bai,bfwa398,65,398,TorusMDS,1.6404,,,3584.0,tolerance,0.0117,0.1759236454790894,0.2093182960582418,0.138608664519989,0.9208620074770189,0.6995332172137648,21.138652,results/suitesparse_normalized_TorusMDS_comparison.csv,
295,Bai,bfwb398,66,209,TorusMDS,1.4015,,,3200.0,tolerance,0.003,0.1123249762363728,0.1833403813196027,0.0933300797817121,0.968424602585742,0.6368933512218478,19.196049,results/suitesparse_normalized_TorusMDS_comparison.csv,
298,Bai,bwm200,67,200,TorusMDS,1.2329,,,2304.0,tolerance,0.001,0.1222892823795635,0.4471170132131091,0.0848334492954706,0.9916769969190524,0.6641190476190476,106.554543,results/suitesparse_normalized_TorusMDS_comparison.csv,
307,Bai,ck400,68,200,TorusMDS,1.8656,,,3584.0,tolerance,0.0014,0.1024496444223398,0.1199785393879886,0.0783606671973119,0.9826630254161998,0.9731969696969696,77.202392,results/suitesparse_normalized_TorusMDS_comparison.csv,
313,Bai,lop163,69,163,TorusMDS,1.0697,,,2432.0,tolerance,0.0015,0.0894589819555529,0.250927738001019,0.0764161019699269,0.9741695194154592,0.5037079782536307,26.299431,results/suitesparse_normalized_TorusMDS_comparison.csv,
314,Bai,mhda416,70,409,TorusMDS,1.7613,,,3840.0,tolerance,0.0136,0.0492717870787851,0.1681437542367104,0.0449856708241534,0.9951461316995678,0.908425070078812,32.552531,results/suitesparse_normalized_TorusMDS_comparison.csv,
315,Bai,mhdb416,71,102,TorusMDS,1.8401,,,4224.0,tolerance,0.0007,0.0617153736345539,0.1282540160528017,0.0484970943193292,0.9969475410494532,0.9391408159264196,31.388116,results/suitesparse_normalized_TorusMDS_comparison.csv,
316,Bai,odepa400,72,400,TorusMDS,1.4853,,,2816.0,tolerance,0.0027,0.3300103006087432,0.7408874390678454,0.3376436006326299,0.6729988087021003,0.8792270531400966,265.397097,results/suitesparse_normalized_TorusMDS_comparison.csv,
318,Bai,olm100,73,100,TorusMDS,1.1746,,,2304.0,tolerance,0.0006,0.0739895339524745,0.1690885244902073,0.0508200798454626,0.9972149091750312,0.903088578088578,58.30267,results/suitesparse_normalized_TorusMDS_comparison.csv,
323,Bai,pde225,74,225,TorusMDS,1.4055,,,2560.0,tolerance,0.0024,0.0989571877242133,0.1302356860037976,0.0864881967177333,0.977018588879386,0.90865873015873,35.378769,results/suitesparse_normalized_TorusMDS_comparison.csv,
327,Bai,qc324,75,324,TorusMDS,1.0356,,,2304.0,tolerance,0.1017,0.1913629916311643,0.2882457185586515,0.1682938762936597,0.9155653165815532,0.9505549751937372,6.307991,results/suitesparse_normalized_TorusMDS_comparison.csv,
334,Bai,rw136,76,136,TorusMDS,1.047,,,2304.0,tolerance,0.0013,0.2596576000157751,0.2754820441039044,0.1787177780383823,0.8790850323931204,0.804020277967646,15.938449,results/suitesparse_normalized_TorusMDS_comparison.csv,
337,Bai,tub100,77,100,TorusMDS,1.9063,,,3712.0,tolerance,0.0005,0.0312544900576007,0.0696423325093432,0.0284515102427606,0.9988707043483211,0.9775,64.710701,results/suitesparse_normalized_TorusMDS_comparison.csv,
380,DRIVCAV,cavity01,78,290,TorusMDS,1.7897,,,3584.0,tolerance,0.0079,0.1424898850362073,0.2013355264565809,0.1151158672331761,0.9450406095478908,0.7826411598984697,11.213825,results/suitesparse_normalized_TorusMDS_comparison.csv,
381,DRIVCAV,cavity02,79,162,TorusMDS,0.9823,,,2304.0,tolerance,0.0029,0.1538578993801825,0.2135781224449793,0.1314301769484968,0.9362980273846916,0.8883619495326529,9.61891,results/suitesparse_normalized_TorusMDS_comparison.csv,
382,DRIVCAV,cavity03,80,290,TorusMDS,1.6362,,,3584.0,tolerance,0.0078,0.1420549769538091,0.2009834758137959,0.1149200054495843,0.9451990553113728,0.7812259380379856,11.218459,results/suitesparse_normalized_TorusMDS_comparison.csv,
383,DRIVCAV,cavity04,81,162,TorusMDS,0.9885,,,2304.0,tolerance,0.0029,0.1538578993801825,0.2135781224449793,0.1314301769484968,0.9362980273846916,0.8883619495326529,9.61891,results/suitesparse_normalized_TorusMDS_comparison.csv,
406,FIDAP,ex1,82,216,TorusMDS,1.0289,,,2304.0,tolerance,0.0049,0.1633101496277558,0.2386240601211541,0.1338199287060785,0.9338659066960274,0.8967338942782694,11.194,results/suitesparse_normalized_TorusMDS_comparison.csv,
416,FIDAP,ex2,83,441,TorusMDS,1.136,,,2432.0,tolerance,0.0328,0.1360266041138442,0.2103354791890038,0.1181050121874162,0.9495193133448132,0.8939248675792689,11.651224,results/suitesparse_normalized_TorusMDS_comparison.csv,
824,TOKAMAK,utm300,84,300,TorusMDS,1.557,,,3328.0,tolerance,0.0087,0.2268900345396916,0.2639049114142598,0.1786219909596295,0.8249942033647488,0.6256194854889917,10.247211,results/suitesparse_normalized_TorusMDS_comparison.csv,
861,MathWorks,pivtol,85,102,TorusMDS,1.6048,,,3200.0,tolerance,0.0004,0.0019036802009707,0.0038764123336758,0.0014327820329765,0.9998001179605358,1.0,100.76682,results/suitesparse_normalized_TorusMDS_comparison.csv,
875,Pothen,mesh2e1,86,306,TorusMDS,1.6225,,,3456.0,tolerance,0.0066,0.1186777019183481,0.1542622489176255,0.1003633123399549,0.9611848477496062,0.7998156164822832,29.898394,results/suitesparse_normalized_TorusMDS_comparison.csv,
876,Pothen,mesh2em5,87,306,TorusMDS,1.6262,,,3456.0,tolerance,0.0067,0.1186777019183481,0.1542622489176255,0.1003633123399549,0.9611848477496062,0.7998156164822832,29.898394,results/suitesparse_normalized_TorusMDS_comparison.csv,
877,Pothen,mesh3e1,88,289,TorusMDS,1.8205,,,3200.0,tolerance,0.0039,0.09848860403794,0.1258122848189458,0.0857115025343693,0.9778512239467938,0.9626903960237292,40.218088,results/suitesparse_normalized_TorusMDS_comparison.csv,
878,Pothen,mesh3em5,89,289,TorusMDS,1.8193,,,3200.0,tolerance,0.0041,0.09848860403794,0.1258122848189458,0.0857115025343693,0.9778512239467938,0.9626903960237292,40.218088,results/suitesparse_normalized_TorusMDS_comparison.csv,
884,Pothen,sphere3,90,258,TorusMDS,1.0531,,,2304.0,tolerance,0.0034,0.1755858085674644,0.3878261060403485,0.1343891940702291,0.8904786987674599,0.6693387690740634,18.214572,results/suitesparse_normalized_TorusMDS_comparison.csv,
908,vanHeukelum,cage7,91,340,TorusMDS,1.2227,,,2688.0,tolerance,0.0091,0.2647042827514375,0.3111919646844777,0.2125704338748546,0.7686735735832925,0.4210099241630693,13.093089,results/suitesparse_normalized_TorusMDS_comparison.csv,
926,FEMLAB,poisson2D,92,367,TorusMDS,1.5534,,,3456.0,tolerance,0.0101,0.0529034321175025,0.075684657450719,0.0456964527403506,0.992814520682022,0.9695396825396824,33.660361,results/suitesparse_normalized_TorusMDS_comparison.csv,
929,FEMLAB,problem1,93,415,TorusMDS,2.1281,,,3840.0,tolerance,0.0122,0.0450117535144602,0.0695551020414203,0.0387560270576693,0.994469738414098,0.9746031746031746,39.370967,results/suitesparse_normalized_TorusMDS_comparison.csv,
1112,Sandia,oscil_dcop_01,94,426,TorusMDS,1.8282,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1113,Sandia,oscil_dcop_02,95,426,TorusMDS,1.8218,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1114,Sandia,oscil_dcop_03,96,426,TorusMDS,1.8222,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1115,Sandia,oscil_dcop_04,97,426,TorusMDS,1.8213,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1116,Sandia,oscil_dcop_05,98,426,TorusMDS,1.8202,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1117,Sandia,oscil_dcop_06,99,426,TorusMDS,1.8229,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1118,Sandia,oscil_dcop_07,100,426,TorusMDS,1.8189,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1119,Sandia,oscil_dcop_08,101,426,TorusMDS,1.8208,,,3328.0,tolerance,0.0058,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1120,Sandia,oscil_dcop_09,102,426,TorusMDS,1.8201,,,3328.0,tolerance,0.0058,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1121,Sandia,oscil_dcop_10,103,426,TorusMDS,1.826,,,3328.0,tolerance,0.0058,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1122,Sandia,oscil_dcop_11,104,426,TorusMDS,1.8189,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1123,Sandia,oscil_dcop_12,105,426,TorusMDS,1.824,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1124,Sandia,oscil_dcop_13,106,426,TorusMDS,1.8238,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1125,Sandia,oscil_dcop_14,107,426,TorusMDS,1.8207,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1126,Sandia,oscil_dcop_15,108,426,TorusMDS,1.819,,,3328.0,tolerance,0.0058,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1127,Sandia,oscil_dcop_16,109,426,TorusMDS,1.8239,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1128,Sandia,oscil_dcop_17,110,426,TorusMDS,1.831,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1129,Sandia,oscil_dcop_18,111,426,TorusMDS,1.8336,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
1130,Sandia,oscil_dcop_19,112,426,TorusMDS,1.8317,,,3328.0,tolerance,0.0059,0.084492078498245,0.1788505113973476,0.0764575713181372,0.9793965792307447,0.6311846689895472,75.295663,results/suitesparse_normalized_TorusMDS_comparison.csv,
